dataset,fold,threshold,precision,recall
DBLP-ACM,3,0.82,1.0,0.9754464285714286
DBLP-ACM,3,0.83,1.0,0.9732142857142857
DBLP-ACM,3,0.84,1.0,0.9732142857142857
DBLP-ACM,3,0.85,1.0,0.9732142857142857
DBLP-ACM,3,0.86,1.0,0.9732142857142857
DBLP-ACM,3,0.87,1.0,0.9732142857142857
DBLP-ACM,3,0.88,1.0,0.9732142857142857
DBLP-ACM,3,0.89,1.0,0.96875
DBLP-ACM,3,0.9,1.0,0.96875
DBLP-ACM,3,0.91,1.0,0.96875
DBLP-ACM,3,0.92,1.0,0.96875
DBLP-ACM,3,0.93,1.0,0.9665178571428571
DBLP-ACM,3,0.94,1.0,0.9620535714285714
DBLP-ACM,3,0.95,1.0,0.9598214285714286
DBLP-ACM,4,0.05,0.9757174392935982,1.0
DBLP-ACM,4,0.06,0.9757174392935982,1.0
DBLP-ACM,4,0.07,0.9757174392935982,1.0
DBLP-ACM,4,0.08,0.9757174392935982,1.0
DBLP-ACM,4,0.09,0.9757174392935982,1.0
DBLP-ACM,4,0.1,0.9757174392935982,1.0
DBLP-ACM,4,0.11,0.9757174392935982,1.0
DBLP-ACM,4,0.12,0.9757174392935982,1.0
DBLP-ACM,4,0.13,0.9778761061946902,1.0
DBLP-ACM,4,0.14,0.9778761061946902,1.0
DBLP-ACM,4,0.15,0.9778761061946902,1.0
DBLP-ACM,4,0.16,0.9778761061946902,1.0
DBLP-ACM,4,0.17,0.9778761061946902,1.0
DBLP-ACM,4,0.18,0.9778761061946902,1.0
DBLP-ACM,4,0.19,0.9778270509977827,0.997737556561086
DBLP-ACM,4,0.2,0.9778270509977827,0.997737556561086
DBLP-ACM,4,0.21,0.9778270509977827,0.997737556561086
DBLP-ACM,4,0.22,0.9778270509977827,0.997737556561086
DBLP-ACM,4,0.23,0.9778270509977827,0.997737556561086
DBLP-ACM,4,0.24,0.9778270509977827,0.997737556561086
DBLP-ACM,4,0.25,0.9778270509977827,0.997737556561086
DBLP-ACM,4,0.26,0.9778270509977827,0.997737556561086
DBLP-ACM,4,0.27,0.9778270509977827,0.997737556561086
DBLP-ACM,4,0.28,0.9778270509977827,0.997737556561086
DBLP-ACM,4,0.29,0.9778270509977827,0.997737556561086
DBLP-ACM,4,0.3,0.9778270509977827,0.997737556561086
DBLP-ACM,4,0.31,0.9778270509977827,0.997737556561086
DBLP-ACM,4,0.32,0.9778270509977827,0.997737556561086
DBLP-ACM,4,0.33,0.9778270509977827,0.997737556561086
DBLP-ACM,4,0.34,0.9778270509977827,0.997737556561086
DBLP-ACM,4,0.35,0.9778270509977827,0.997737556561086
DBLP-ACM,4,0.36,0.9777777777777777,0.995475113122172
DBLP-ACM,4,0.37,0.9777777777777777,0.995475113122172
DBLP-ACM,4,0.38,0.9777777777777777,0.995475113122172
DBLP-ACM,4,0.39,0.9777777777777777,0.995475113122172
DBLP-ACM,4,0.4,0.9777777777777777,0.995475113122172
DBLP-ACM,4,0.41,0.9777777777777777,0.995475113122172
DBLP-ACM,4,0.42,0.9777777777777777,0.995475113122172
DBLP-ACM,4,0.43,0.9777777777777777,0.995475113122172
DBLP-ACM,4,0.44,0.9777777777777777,0.995475113122172
DBLP-ACM,4,0.45,0.9821428571428571,0.995475113122172
DBLP-ACM,4,0.46,0.9821428571428571,0.995475113122172
DBLP-ACM,4,0.47,0.9821428571428571,0.995475113122172
DBLP-ACM,4,0.48,0.9821428571428571,0.995475113122172
DBLP-ACM,4,0.49,0.9821428571428571,0.995475113122172
DBLP-ACM,4,0.5,0.9821428571428571,0.995475113122172
DBLP-ACM,4,0.51,0.9821428571428571,0.995475113122172
DBLP-ACM,4,0.52,0.9821428571428571,0.995475113122172
DBLP-ACM,4,0.53,0.9821428571428571,0.995475113122172
DBLP-ACM,4,0.54,0.9821428571428571,0.995475113122172
DBLP-ACM,4,0.55,0.9821428571428571,0.995475113122172
DBLP-ACM,4,0.56,0.984304932735426,0.9932126696832579
DBLP-ACM,4,0.57,0.984304932735426,0.9932126696832579
